Date,Coin,actual,predicted,Residual
2022-08-17,algo,-0.4159984054424135,-0.41599847506339066,6.962097715002002e-08
2022-08-18,algo,-0.415998965912186,-0.41599884736702597,-1.1854516002163251e-07
2022-08-19,algo,-0.4160013479087191,-0.4160011421832346,-2.057254845366785e-07
2022-08-20,algo,-0.4160015580848838,-0.4160012447561505,-3.133287332923729e-07
2022-08-21,algo,-0.4160010988110424,-0.4160013742053708,2.753943283972937e-07
2022-08-22,algo,-0.4160013323401142,-0.416001948699031,6.163589167940131e-07
2022-08-23,algo,-0.4160009742622041,-0.4160008542084998,-1.2005370431111828e-07
2022-08-24,algo,-0.4160014023988358,-0.41600203715274886,6.347539130424629e-07
2022-08-25,algo,-0.4160010053994137,-0.4159988951092105,-2.1102902031944204e-06
2022-08-26,algo,-0.4160028969848958,-0.41600382219455156,9.252096557776923e-07
2022-08-27,algo,-0.4160024454953569,-0.41600159733738173,-8.481579751862256e-07
2022-08-28,algo,-0.416002959259315,-0.4160043207742363,1.361514921305318e-06
2022-08-29,algo,-0.4160017293395365,-0.416001930425624,2.010860875034659e-07
2022-08-30,algo,-0.4160022275348898,-0.41600249426267216,2.6672778236092043e-07
2022-08-31,algo,-0.4160024766325665,-0.41600175189239014,-7.247401763721406e-07
2022-09-01,algo,-0.4160020796331443,-0.41600251615355055,4.3652040626618316e-07
2022-09-02,algo,-0.4160013946145335,-0.41600080358377817,-5.91030755336952e-07
2022-09-03,algo,-0.4160013479087191,-0.4160015305782433,1.8266952417356208e-07
2022-09-04,algo,-0.4160005928313867,-0.4160000515250305,-5.413063561832132e-07
2022-09-05,algo,-0.4160012233598807,-0.4160015900281787,3.6666829800191536e-07
2022-09-06,algo,-0.4160027101616383,-0.416002522107278,-1.8805436030611133e-07
2022-09-07,algo,-0.4160016514965125,-0.4160015676608622,-8.383565031078177e-08
2022-09-08,algo,-0.4160009742622041,-0.4160015183804628,5.44118258671844e-07
2022-09-09,algo,-0.4159996664994017,-0.41599959169865125,-7.480075042698431e-08
2022-09-10,algo,-0.4159998455383568,-0.4160001976544436,3.521160868436013e-07
2022-09-11,algo,-0.4159995263819585,-0.4159990328796728,-4.935022856478177e-07
2022-09-12,algo,-0.4159997365581232,-0.4159998207084655,8.415034224995566e-08
2022-09-13,algo,-0.4160018461040724,-0.4160013916031661,-4.5450090629950424e-07
2022-09-14,algo,-0.4160013401244167,-0.41600074207195137,-5.980524653281805e-07
2022-09-15,algo,-0.4160019706529107,-0.41600327524157327,1.3045886625429048e-06
2022-09-16,algo,-0.4160017371238389,-0.4160016393894807,-9.77343582175827e-08
2022-09-17,algo,-0.4160007407331322,-0.41600117839549844,4.3766236623721255e-07
2022-09-18,algo,-0.4160021263389586,-0.4160016388942532,-4.874447054326048e-07
2022-09-19,algo,-0.4160002425377789,-0.4159997016173606,-5.409204182904581e-07
2022-09-20,algo,-0.4159992850685842,-0.4160000995933936,8.145248094337809e-07
2022-09-21,algo,-0.4159988413633477,-0.41599825467722584,-5.866861218506436e-07
2022-09-22,algo,-0.4159961479947188,-0.4159968531676084,7.051728896367848e-07
2022-09-23,algo,-0.4159938594098145,-0.4159930277136625,-8.316961520038468e-07
2022-09-24,algo,-0.4159949414278475,-0.4159961229755344,1.1815476869125874e-06
2022-09-25,algo,-0.4159947001144732,-0.4159933047207267,-1.3953937464949995e-06
2022-09-26,algo,-0.4159962336220452,-0.41599718340351366,9.497814684733541e-07
2022-09-27,algo,-0.4159975024633356,-0.41599636715162985,-1.1353117057577577e-06
2022-09-28,algo,-0.4159977282081051,-0.4159972014626606,-5.267454444846109e-07
2022-09-29,algo,-0.4159973000714734,-0.4159984347329208,1.1346614474105898e-06
2022-09-30,algo,-0.4159974168360092,-0.41599744715154197,3.031553275079091e-08
2022-10-01,algo,-0.4159973000714734,-0.4159977478077433,4.477362698929177e-07
2022-10-02,algo,-0.4159973545615901,-0.4159966559324216,-6.986291685162627e-07
2022-10-03,algo,-0.4159973545615901,-0.41599757458228026,2.2002069016702208e-07
2022-10-04,algo,-0.4159970898953087,-0.4159971471053058,5.7209997073037755e-08
2022-10-05,algo,-0.4159973856987997,-0.4159985620954519,1.1763966522027047e-06
2022-10-06,algo,-0.4159977826982219,-0.4159965430066567,-1.2396915651802232e-06
2022-10-07,algo,-0.4159983431679944,-0.41599896705135797,6.238833635818786e-07
2022-10-08,algo,-0.4159988569319525,-0.41599771685077985,-1.1400811726347548e-06
2022-10-09,algo,-0.4159985533441591,-0.4159990766334337,5.232892746342976e-07
2022-10-10,algo,-0.4160000634988238,-0.41600005643852966,-7.06029412711473e-09
2022-10-11,algo,-0.416000203616267,-0.4160003811206327,1.775043657059605e-07
2022-10-12,algo,-0.4160005305569675,-0.41600004739554747,-4.831614200395684e-07
2022-10-13,algo,-0.4160000712831262,-0.41600103451269504,9.632295688288828e-07
2022-10-14,algo,-0.4160002269691741,-0.41599927454564467,-9.524235294322558e-07
2022-10-15,algo,-0.4160001102046382,-0.4160007451263166,6.349216783996248e-07
2022-10-16,algo,-0.4159998377540543,-0.4159993524084974,-4.853455569109322e-07
2022-10-17,algo,-0.4159992305784674,-0.41599968809766097,4.5751919358627546e-07
2022-10-18,algo,-0.416000086851731,-0.41599998465919624,-1.0219253476773105e-07
2022-10-19,algo,-0.4160009820465065,-0.41600117164375616,1.895972496779308e-07
2022-10-20,algo,-0.4160010676738329,-0.4160004779594264,-5.89714406473707e-07
2022-10-21,algo,-0.4160005383412699,-0.41600112267912215,5.843378522718545e-07
2022-10-22,algo,-0.4160005149883627,-0.41599993428281845,-5.80705544261928e-07
2022-10-23,algo,-0.4160003515180124,-0.416000772212471,4.206944586027106e-07
2022-10-24,algo,-0.416000421576734,-0.4160002908405699,-1.3073616411674038e-07
2022-10-25,algo,-0.4159991527354436,-0.4159981074987956,-1.0452366479563047e-06
2022-10-26,algo,-0.4159983587365992,-0.41599951817481484,1.1594382156587812e-06
2022-10-27,algo,-0.4159995653034705,-0.4159989016750853,-6.636283851890745e-07
2022-10-28,algo,-0.4159989970493956,-0.41600014532460294,1.1482752073632696e-06
2022-10-29,algo,-0.4159984988540423,-0.4159981577947634,-3.4105927887440046e-07
2022-10-30,algo,-0.4159969653464703,-0.4159971672416566,2.0189518629143421e-07
2022-10-31,algo,-0.4159970042679823,-0.4159966750115577,-3.292564246248908e-07
2022-11-01,algo,-0.4159969108563536,-0.4159968116540738,-9.920227977966434e-08
2022-11-02,algo,-0.4159967863075152,-0.4159964011888566,-3.8511865857460137e-07
2022-11-03,algo,-0.415996132426114,-0.4159965138608785,3.8143476449592484e-07
2022-11-04,algo,-0.4159926139214311,-0.415993149066381,5.351449499091387e-07
2022-11-05,algo,-0.4159919366871228,-0.4159914436972586,-4.929898642092034e-07
2022-11-06,algo,-0.4159936025278354,-0.4159932022860991,-4.0024173630914817e-07
2022-11-07,algo,-0.4159923025493354,-0.41599229059577936,-1.1953556033894586e-08
2022-11-08,algo,-0.4159989347749764,-0.4159995294273614,5.946523849997831e-07
